School,Total UC Berkeley Applicants,Total UC Berkeley Applicants Matriculated,First Time Applicants Matriculated,Re-applicants Matriculated
"University of California, Davis, School of Medicine",481,11,10,1
Keck School of Medicine of the University of Southern California,469,22,17,5
"University of California, San Francisco, School of Medicine",469,15,14,1
"University of California, Los Angeles David Geffen School of Medicine",468,14,14,0
"University of California, San Diego School of Medicine",468,13,12,1
"University of California, Irvine, School of Medicine",459,8,6,2
Kaiser Permanente Bernard J. Tyson School of Medicine,387,3,3,0
Tufts University School of Medicine,345,3,3,0
"University of California, Riverside School of Medicine",338,3,3,0
Stanford University School of Medicine,328,1,0,1
Georgetown University School of Medicine,319,2,1,1
Drexel University College of Medicine,299,5,5,0
George Washington University School of Medicine and Health Sciences,288,4,2,2
Boston University School of Medicine,283,3,2,1
California University of Science and Medicine,281,7,6,1
California Northstate University College of Medicine,275,9,5,4
Tulane University School of Medicine,274,0,0,0
Albert Einstein College of Medicine,266,2,2,0
New York Medical College,262,3,2,1
Rush Medical College of Rush University Medical Center,254,4,3,1
Emory University School of Medicine,248,2,1,1
Chicago Medical School at Rosalind Franklin University of Medicine & Science,245,4,3,1
Lewis Katz School of Medicine at Temple University,240,2,0,2
University of Michigan Medical School,240,0,0,0
Albany Medical College,233,1,0,1
Geisel School of Medicine at Dartmouth,229,1,1,0
Icahn School of Medicine at Mount Sinai,225,2,2,0
University of Colorado School of Medicine,220,5,5,0
Loyola University Chicago Stritch School of Medicine,212,3,2,1
The Warren Alpert Medical School of Brown University,206,0,0,0
Sidney Kimmel Medical College at Thomas Jefferson University,205,3,3,0
Weill Cornell Medicine,203,0,0,0
Columbia University Vagelos College of Physicians and Surgeons,202,1,0,1
New York University Grossman School of Medicine,201,3,3,0
Case Western Reserve University School of Medicine,200,2,1,1
Harvard Medical School,198,3,3,0
University of Miami Leonard M. Miller School of Medicine,196,2,1,1
Oregon Health & Science University School of Medicine,182,2,1,1
Northwestern University The Feinberg School of Medicine,180,4,2,2
University of Washington School of Medicine,175,4,4,0
University of Pittsburgh School of Medicine,174,3,2,1
"Robert Larner, M.D., College of Medicine at the University of Vermont",172,1,0,1
Yale School of Medicine,169,3,3,0
Medical College of Wisconsin,168,4,1,3
University of Arizona College of Medicine ‐ Phoenix,167,5,3,2
Duke University School of Medicine,162,1,0,1
Johns Hopkins University School of Medicine,158,2,2,0
Loma Linda University School of Medicine,158,1,1,0
Pennsylvania State University College of Medicine,158,1,1,0
Wake Forest School of Medicine of Wake Forest Baptist Medical Center,158,0,0,0
Oakland University William Beaumont School of Medicine,156,2,1,1
Saint Louis University School of Medicine,155,1,0,1
University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,154,1,0,1
University of Rochester School of Medicine and Dentistry,154,2,0,2
University of Illinois College of Medicine,150,3,3,0
Perelman School of Medicine at the University of Pennsylvania,147,3,2,1
University of Arizona College of Medicine – Tucson,146,0,0,0
Washington University in St. Louis School of Medicine,141,0,0,0
Frank H. Netter MD School of Medicine at Quinnipiac University,134,1,0,1
Mayo Clinic Alix School of Medicine,134,3,3,0
Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,131,0,0,0
Virginia Commonwealth University School of Medicine,127,0,0,0
Vanderbilt University School of Medicine,122,3,3,0
UCLA/Drew Medical Education Program,121,2,2,0
Wayne State University School of Medicine,121,3,3,0
Eastern Virginia Medical School,114,3,1,2
Renaissance School of Medicine at Stony Brook University,112,2,2,0
Michigan State University College of Human Medicine,111,0,0,0
Ohio State University College of Medicine,109,1,1,0
State University of New York Downstate Medical Center College of Medicine,109,0,0,0
Geisinger Commonwealth School of Medicine,106,3,0,3
Virginia Tech Carilion School of Medicine,106,0,0,0
University of Wisconsin School of Medicine and Public Health,103,1,1,0
Creighton University School of Medicine,100,3,2,1
Central Michigan University College of Medicine,89,0,0,0
Indiana University School of Medicine,88,1,1,0
University of Cincinnati College of Medicine,88,2,2,0
University of Virginia School of Medicine,88,1,1,0
University of Massachusetts Medical School,85,4,3,1
Seton Hall‐Hackensack Meridian,83,2,2,0
Wright State University Boonshoft School of Medicine,81,1,0,1
University of Maryland School of Medicine,80,1,1,0
New York University Long Island School of Medicine,79,0,0,0
Florida International University Herbert Wertheim College of Medicine,78,0,0,0
Howard University College of Medicine,78,1,1,0
The University of Toledo College of Medicine and Life Sciences,78,1,0,1
USF Health Morsani College of Medicine,75,5,3,2
Western Michigan University Homer Stryker M.D. School of Medicine,75,1,1,0
TCU and UNTHSC SOM,72,1,1,0
University of North Carolina at Chapel Hill School of Medicine,71,1,0,1
Rutgers New Jersey Medical School,70,0,0,0
University of Minnesota Medical School,66,2,0,2
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,65,0,0,0
"Rutgers, Robert Wood Johnson Medical School",65,1,1,0
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,62,2,1,1
"University of Hawaii, John A. Burns School of Medicine",62,2,1,1
State University of New York Upstate Medical University,61,0,0,0
Cooper Medical School of Rowan University,60,0,0,0
Meharry Medical College,60,0,0,0
Carle Illinois College of Medicine,59,4,2,2
University of Utah School of Medicine,57,1,0,1
University of Iowa Roy J. and Lucille A. Carver College of Medicine,54,2,0,2
Charles E. Schmidt College of Medicine at Florida Atlantic University,51,1,0,1
Morehouse School of Medicine,51,0,0,0
Baylor College of Medicine,49,3,3,0
Florida State University College of Medicine,46,0,0,0
Northeast Ohio Medical University,44,1,0,1
University of Central Florida College of Medicine,42,1,1,0
University of Connecticut School of Medicine,36,0,0,0
West Virginia University School of Medicine,35,1,1,0
Texas‐Houston,34,1,1,0
Texas‐San Antonio,33,1,1,0
Texas‐Southwestern,33,2,2,0
University of Florida College of Medicine,33,0,0,0
University of Louisville School of Medicine,33,0,0,0
University of Missouri‐Columbia School of Medicine,33,0,0,0
University of South Carolina School of Medicine Greenville,32,0,0,0
UT Austin‐Dell,31,0,0,0
Texas A M Univ,30,1,1,0
University of Alabama School of Medicine,30,1,1,0
Louisiana State University School of Medicine in New Orleans,28,0,0,0
Louisiana State University School of Medicine in Shreveport,27,0,0,0
"University of Nevada Las Vegas, School of Medicine",27,1,1,0
Texas‐Galveston,26,1,0,1
Univ. of Houston COM,26,0,0,0
University of Kansas School of Medicine,26,0,0,0
Texas Tech,25,0,0,0
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,24,1,0,1
Paul L. Foster SOM,23,0,0,0
"University of Nevada, Reno School of Medicine",23,0,0,0
University of Arkansas for Medical Sciences College of Medicine,22,1,1,0
Medical University of South Carolina College of Medicine,18,0,0,0
Washington State University Elson S. Floyd College of Medicine,17,0,0,0
University of Kentucky College of Medicine,16,0,0,0
UT‐Rio Grande SOM,16,1,1,0
East Tennessee State University James H. Quillen College of Medicine,14,0,0,0
University of Nebraska College of Medicine,13,0,0,0
University of Oklahoma College of Medicine,13,0,0,0
University of New Mexico School of Medicine,12,0,0,0
University of South Carolina School of Medicine,12,0,0,0
Joint Medical Program UC B/SF,11,2,2,0
Medical College of Georgia at Augusta University,11,0,0,0
University of Missouri‐Kansas City School of Medicine,11,0,0,0
University of North Dakota School of Medicine and Health Sciences,10,0,0,0
"University of South Dakota, Sanford School of Medicine",10,1,0,1
University of Texas Southwestern Medical School,10,0,0,0
Ponce Health Sciences University School of Medicine,9,1,0,1
University of Tennessee Health Science Center College of Medicine,9,0,0,0
Marshall University Joan C. Edwards School of Medicine,8,0,0,0
San Juan Bautista School of Medicine,8,0,0,0
McGovern Medical School at the University of Texas Health Science Center at Houston,7,0,0,0
The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,7,0,0,0
Texas A&M Health Science Center College of Medicine,5,0,0,0
University of South Alabama College of Medicine,5,0,0,0
Universidad Central del Caribe School of Medicine,3,0,0,0
Southern Illinois University School of Medicine,2,0,0,0
University of Puerto Rico School of Medicine,2,0,0,0
University of Texas Medical Branch School of Medicine,2,0,0,0
Brody School of Medicine at East Carolina University,1,0,0,0
